Symbol,Volume USD,Total Target Amount,Total Source Paid,Source Symbol,Price USD,Level,Trade Count,Decimals,Address
"EURA",21.14,18.296656028365955,0.00859424329016738,"ETH",1.1552770870685436,1,3,18,"0x1a7e4e63778b4f12a199c062f3efdd288afcbce8"
"DATA",17.98,72241.60244399503,0.0298847270872004,"ETH",0.00024886179350618975,1,2,18,"0x8f693ca8d21b157107184d29d398a8d082b38b76"
"EDEN",17.96,10373.884968853325,0.08129617557881158,"ETH",0.0017311941544466347,1,2,18,"0x1559fa1b8f28238fd5d76d9f434ad86fd20d1559"
"ZRX",17.40,176.49840701391705,0.007659602855766991,"ETH",0.09858671302100129,1,1,18,"0xe41d2489571d322189246dafa5ebde1f4699f498"
"ILV",16.91,5.420960657615584,0.009161857518901547,"ETH",3.119634658242981,1,1,18,"0x767fe9edc9e0df98e07454847909b5e959d7ca0e"
"NMR",16.54,1.8282868042444036,0.005971290890665124,"ETH",9.046454732059457,1,2,18,"0x1776e1f26f98b1a5df9cd347953a26dd3cb46671"
"ROOK",15.35,243.57674612942017,0.05114195113779813,"ETH",0.06300215101459418,1,1,18,"0xfa5047c9c78b8877af97bdcb85db743fd7313d4a"
"INDEX",14.39,56.7002059798365,0.006640365016239356,"ETH",0.25378322158337047,1,1,18,"0x0954906da0bf32d5479e25f46056d22f08464cab"
"YFI",14.30,0.006281092118307927,0.002753590632065046,"ETH",2276.3536581029653,1,2,18,"0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e"
"JRT",14.28,16676.38756035987,0.001880239900953904,"ETH",0.0008561929803807431,1,2,18,"0x8a9c67fee641579deba04928c4bc45f66e26343a"
"COTI",14.24,1077.6702441027828,0.005941353395594281,"ETH",0.013215188121495707,1,1,18,"0xddb3422497e61e13543bea06989c0789117555c5"
"RLC",12.57,40.43244482,0.004315268804408018,"ETH",0.3109151338770505,1,2,9,"0x607f4c5bb672230e8672085532f7e901544a7375"
"NPC",11.93,701.7409749372248,0.001906299708905245,"ETH",0.01700162012439831,1,1,18,"0x8ed97a637a790be1feff5e888d43629dc05408f6"
"MONA",10.64,0.6585139601071883,0.006968105221386443,"ETH",16.158135454329102,1,1,18,"0x275f5ad03be0fa221b4c6649b8aee09a42d9412a"
